br,km_trecho,uf,municipio,acidentes,mortos,feridos_graves,pessoas,letalidade,letalidade_ic_baixo,letalidade_ic_alto,tipo_pista,uso_solo
277,4,PR,PARANAGUA,34,2,4,94,0.02127659574468085,0.005854336239172767,0.07429020489102962,Simples,Sim
116,222,SP,GUARULHOS,34,0,8,72,0.0,0.0,0.05065117259645778,Múltipla,Sim
116,185,RJ,RIO DE JANEIRO,34,2,4,77,0.025974025974025976,0.007152159807893181,0.08984582779753131,Dupla,Não
101,136,SC,BALNEARIO CAMBORIU,34,0,9,91,0.0,0.0,0.04050400392888019,Múltipla,Sim
101,209,SC,SAO JOSE,33,2,12,106,0.018867924528301886,0.005189608779595737,0.06619927211185864,Múltipla,Sim
101,137,SC,BALNEARIO CAMBORIU,33,1,9,75,0.013333333333333334,0.002357551139048661,0.0717336555442157,Múltipla,Sim
101,197,SC,BIGUACU,33,1,6,67,0.014925373134328358,0.002639571734078895,0.07981862319778105,Dupla,Não
282,1,SC,FLORIANOPOLIS,33,1,7,94,0.010638297872340425,0.0018803957480879388,0.05782291296278561,Múltipla,Sim
277,722,PR,FOZ DO IGUACU,33,0,13,96,0.0,0.0,0.038475587857675665,Dupla,Sim
101,313,RJ,SAO GONCALO,33,2,8,82,0.024390243902439025,0.006714370331163358,0.08463378391063936,Dupla,Sim
381,489,MG,BETIM,33,1,13,77,0.012987012987012988,0.0022962172971240508,0.06996198914680522,Dupla,Sim
101,130,SC,BALNEARIO CAMBORIU,33,4,6,62,0.06451612903225806,0.02537290552044079,0.15447515727752875,Dupla,Sim
101,112,SC,ITAJAI,33,2,5,73,0.0273972602739726,0.007545758679607648,0.09450148171690531,Dupla,Sim
470,54,SC,BLUMENAU,32,0,4,75,0.0,0.0,0.04872384248280584,Simples,Não
230,18,PB,JOAO PESSOA,32,2,10,74,0.02702702702702703,0.007443352638267217,0.093292925169125,Dupla,Sim
101,146,ES,LINHARES,32,1,7,76,0.013157894736842105,0.0023264800455790532,0.0708367475178441,Múltipla,Não
116,212,SP,GUARULHOS,32,3,8,75,0.04,0.013696064260143921,0.11112987082403744,Múltipla,Sim
381,483,MG,BETIM,32,2,8,76,0.02631578947368421,0.007246659075128337,0.0909662109865807,Dupla,Sim
116,183,RJ,NOVA IGUACU,32,0,9,88,0.0,0.0,0.041827066664892186,Dupla,Sim
232,8,PE,RECIFE,32,0,10,74,0.0,0.0,0.049349779396386045,Múltipla,Não
230,24,PB,JOAO PESSOA,32,0,10,91,0.0,0.0,0.04050400392888019,Dupla,Sim
376,4,PR,APUCARANA,32,0,10,79,0.0,0.0,0.046371211653922634,Simples,Sim
290,92,RS,PORTO ALEGRE,32,2,1,86,0.023255813953488372,0.006400926204270865,0.08088014562632054,Múltipla,Não
101,151,SC,PORTO BELO,32,2,7,64,0.03125,0.008612138346171867,0.10697291770958312,Dupla,Sim
101,126,SC,ITAJAI,32,3,6,69,0.043478260869565216,0.014895903896212315,0.12021202749379142,Dupla,Sim
116,116,PR,CURITIBA,31,0,6,80,0.0,0.0,0.045818129535527094,Dupla,Não
381,486,MG,BETIM,31,0,2,76,0.0,0.0,0.048113585065137306,Dupla,Sim
116,252,RS,SAPUCAIA DO SUL,31,2,4,82,0.024390243902439025,0.006714370331163358,0.08463378391063936,Dupla,Sim
101,149,SC,ITAPEMA,31,1,10,62,0.016129032258064516,0.00285286716862182,0.08586720260689991,Dupla,Sim
290,91,RS,PORTO ALEGRE,31,0,2,97,0.0,0.0,0.038094042525947676,Dupla,Sim
101,50,SP,UBATUBA,31,0,7,73,0.0,0.0,0.049992007955731096,Simples,Sim
101,90,PB,JOAO PESSOA,31,2,11,75,0.02666666666666667,0.0073436890061313945,0.09211488187759148,Dupla,Sim
116,268,RS,CANOAS,31,2,3,68,0.029411764705882353,0.008103179543129883,0.1010463136522306,Dupla,Sim
40,108,RJ,DUQUE DE CAXIAS,31,1,7,63,0.015873015873015872,0.002807494213869284,0.08458525459438393,Múltipla,Sim
101,95,RN,NATAL,31,0,6,76,0.0,0.0,0.048113585065137306,Dupla,Não
465,20,RJ,NOVA IGUACU,31,0,6,70,0.0,0.0,0.0520230624102669,Simples,Sim
222,2,CE,FORTALEZA,30,2,9,69,0.028985507246376812,0.007985202692364204,0.09966583763065552,Múltipla,Sim
101,264,ES,SERRA,30,1,12,73,0.0136986301369863,0.0024222514664838588,0.07359737270963818,Dupla,Sim
40,113,RJ,DUQUE DE CAXIAS,30,0,4,76,0.0,0.0,0.048113585065137306,Simples,Não
101,318,RJ,SAO GONCALO,30,0,1,62,0.0,0.0,0.058344072101372456,Dupla,Sim
40,122,RJ,DUQUE DE CAXIAS,30,0,3,80,0.0,0.0,0.045818129535527094,Dupla,Sim
280,58,SC,GUARAMIRIM,30,0,5,61,0.0,0.0,0.0592438678981128,Dupla,Sim
40,114,RJ,DUQUE DE CAXIAS,30,1,3,63,0.015873015873015872,0.002807494213869284,0.08458525459438393,Dupla,Sim
40,111,RJ,DUQUE DE CAXIAS,30,0,2,98,0.0,0.0,0.03771999012168059,Múltipla,Sim
101,194,SC,BIGUACU,30,1,8,71,0.014084507042253521,0.00249060327054422,0.07556050520249004,Dupla,Sim
101,97,RN,NATAL,30,0,3,70,0.0,0.0,0.0520230624102669,Dupla,Sim
230,28,PB,JOAO PESSOA,30,2,11,60,0.03333333333333333,0.00918931925619787,0.11363774274308597,Dupla,Sim
101,66,PE,RECIFE,30,4,8,72,0.05555555555555555,0.02181421598131665,0.13432015965997912,Dupla,Sim
381,86,SP,SAO PAULO,29,1,8,69,0.014492753623188406,0.002562924644588467,0.07763122461144725,Dupla,Sim
70,10,DF,BRASILIA,29,1,3,72,0.013888888888888888,0.002455951882905767,0.07456602147476152,Múltipla,Não
101,265,ES,SERRA,29,1,11,68,0.014705882352941176,0.0026006835761068076,0.07870973128160869,Múltipla,Sim
116,283,SP,ITAPECERICA DA SERRA,29,0,1,61,0.0,0.0,0.0592438678981128,Dupla,Sim
364,343,RO,JI-PARANA,29,0,9,67,0.0,0.0,0.05422613939130177,Simples,Sim
280,24,SC,ARAQUARI,29,0,6,67,0.0,0.0,0.05422613939130177,Simples,Sim
40,2,GO,VALPARAISO DE GOIAS,29,0,3,67,0.0,0.0,0.05422613939130177,Dupla,Sim
101,201,SC,SAO JOSE,29,0,5,61,0.0,0.0,0.0592438678981128,Múltipla,Sim
101,148,SC,ITAPEMA,29,0,7,60,0.0,0.0,0.06017185214208984,Múltipla,Sim
101,84,PB,BAYEUX,29,1,5,61,0.01639344262295082,0.002899730799299831,0.08718860044641583,Dupla,Sim
230,21,PB,JOAO PESSOA,29,1,10,71,0.014084507042253521,0.00249060327054422,0.07556050520249004,Dupla,Sim
101,84,RN,SAO GONCALO DO AMARANTE,29,2,8,66,0.030303030303030304,0.008349910198653769,0.10392521911709715,Simples,Sim
230,27,PB,JOAO PESSOA,29,0,6,62,0.0,0.0,0.058344072101372456,Simples,Sim
232,5,PE,RECIFE,29,1,11,57,0.017543859649122806,0.003103664651408093,0.09290749178567684,Dupla,Sim
